shop_id,shop_name,cluster_hub,mandal_zone,latitude,longitude,category,animal_origin,animal_destination,daily_animals_handled,slaughter_on_site,refrigeration_available,waste_disposal_method,water_source,drainage_condition,distance_to_drain_m,distance_to_waterbody_m,distance_to_hospital_m,market_crowd_index
NLR-HLTH-001,Kovur Royal Poultry Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.449241,79.99062,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,96,No,No,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,342.9,1521.4,169.1,8.2
NLR-HLTH-002,Star Mutton Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.449709,79.991325,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Inter-Mandal Retail Stalls,239,Yes,No,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,385.8,1469.7,90.0,10.0
NLR-HLTH-003,National Poultry Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.450514,79.992944,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,415,Yes,Yes,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,526.6,1380.6,155.5,6.8
NLR-HLTH-004,National Mixed Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.447519,79.989901,Mixed Live Meat & Fish,Combined Regional Traders & Local Shandy,Inter-Mandal Retail Stalls,175,No,No,Closed Bin Collection,Piped Municipal Supply,Underground Closed Drain,436.0,1711.8,373.5,8.7
NLR-HLTH-005,National Poultry Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.4519,79.99237,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,76,Yes,No,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,424.2,1227.4,181.7,7.4
NLR-HLTH-006,Kovur Royal Mutton Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.451616,79.993931,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Trunk Road & Gandhi Nagar Restaurants,108,Yes,Yes,Open Dumping on Ground,Piped Municipal Supply,Underground Closed Drain,594.5,1258.8,289.6,7.8
NLR-HLTH-007,Coastal Choice Fish Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.448117,79.98712,Fish & Seafood,Krishnapatnam Deep Sea Port Landing,Local Ward Neighborhood Households,186,Yes,Yes,Open Dumping on Ground,Piped Municipal Supply,Underground Closed Drain,248.5,1645.7,419.9,8.3
NLR-HLTH-008,Gouthami Mixed Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.448281,79.987132,Mixed Live Meat & Fish,Combined Regional Traders & Local Shandy,Hotel & Catering Aggregators,96,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,243.3,1627.6,437.7,10.0
NLR-HLTH-009,Al-Madina Mutton Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.448478,79.991915,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Local Street Food Vendors,71,No,No,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,505.8,1605.7,229.2,7.8
NLR-HLTH-010,Sai Krupa Poultry Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.447303,79.985605,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Local Ward Neighborhood Households,373,No,No,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,132.5,1735.7,314.6,10.0
